Date,Open,High,Low,Close,Adj Close,Volume
2020-08-10,57600.0,58300.0,57500.0,57800.0,53399.1328125,17774291
2020-08-11,58000.0,59500.0,57800.0,58200.0,53768.68359375,24907912
2020-08-12,58200.0,59000.0,57700.0,59000.0,54507.76953125,18573934
2020-08-13,59400.0,59600.0,58000.0,58700.0,54230.61328125,22089460
2020-08-14,58000.0,58400.0,57700.0,58000.0,53583.9140625,15672548
2020-08-18,58900.0,59900.0,58000.0,58400.0,53953.4609375,25307825
2020-08-19,59000.0,59200.0,57800.0,57800.0,53399.1328125,16930719
2020-08-20,57600.0,57600.0,55300.0,55400.0,51181.8671875,30386029
2020-08-21,56200.0,56900.0,55800.0,55900.0,51643.80859375,21142288
2020-08-24,55800.0,56600.0,55400.0,56100.0,51828.58203125,15055896
2020-08-25,56400.0,56800.0,56100.0,56400.0,52105.73828125,14021705
2020-08-26,56400.0,56500.0,55700.0,56400.0,52105.73828125,17651593
2020-08-27,56300.0,56300.0,55600.0,55600.0,51366.6484375,16196568
2020-08-28,56100.0,56300.0,55400.0,55400.0,51181.8671875,14619888
2020-08-31,56000.0,56100.0,54000.0,54000.0,49888.46875,32671367
2020-09-01,54100.0,54800.0,54100.0,54200.0,50073.23828125,19363117
2020-09-02,54600.0,55100.0,54100.0,54400.0,50258.01171875,16905723
2020-09-03,55600.0,56700.0,55500.0,56400.0,52105.73828125,28384920
2020-09-04,55200.0,55800.0,55100.0,55600.0,51366.6484375,22139109
2020-09-07,56100.0,57300.0,55800.0,56500.0,52198.1171875,18685880
2020-09-08,57400.0,58700.0,57200.0,58700.0,54230.61328125,31517520
2020-09-09,58200.0,59300.0,57800.0,58400.0,53953.4609375,30597399
2020-09-10,59900.0,60000.0,59100.0,59200.0,54692.546875,29923293
2020-09-11,59300.0,59400.0,58200.0,59000.0,54507.76953125,16017098
2020-09-14,60200.0,60800.0,59900.0,60400.0,55801.17578125,20648281
2020-09-15,60900.0,61000.0,60500.0,61000.0,56355.4921875,17877075
2020-09-16,61100.0,61300.0,60600.0,61000.0,56355.4921875,17041444
2020-09-17,60700.0,60800.0,59300.0,59500.0,54969.703125,25108356
2020-09-18,59800.0,59900.0,59100.0,59300.0,54784.9375,18884571
2020-09-21,59100.0,60000.0,59000.0,59200.0,54692.546875,15140387
2020-09-22,59100.0,59700.0,57800.0,58200.0,53768.68359375,20830381
2020-09-23,58400.0,58800.0,57400.0,58600.0,54138.2265625,20111398
2020-09-24,57700.0,58600.0,57600.0,57800.0,53399.1328125,17564020
2020-09-25,57700.0,58200.0,57700.0,57900.0,53491.5234375,11444683
2020-09-28,58300.0,58800.0,57900.0,58200.0,54099.44921875,12614080
2020-09-29,58300.0,59000.0,58200.0,58200.0,54099.44921875,15503563
2020-10-05,57500.0,59200.0,57500.0,58700.0,54564.21875,20228289
2020-10-06,59400.0,59900.0,58700.0,59000.0,54843.0859375,14463826
2020-10-07,58700.0,59900.0,58500.0,59900.0,55679.6796875,14861838
2020-10-08,60500.0,60700.0,59500.0,59700.0,55493.765625,24589924
2020-10-12,60000.0,60400.0,59900.0,60400.0,56144.44140625,16145837
2020-10-13,61000.0,61400.0,60400.0,60900.0,56609.21484375,19247631
2020-10-14,61000.0,61100.0,60500.0,60900.0,56609.21484375,16086716
2020-10-15,60700.0,60800.0,59700.0,60000.0,55772.6328125,17756232
2020-10-16,60000.0,60400.0,59000.0,59500.0,55307.859375,16554190
2020-10-19,59600.0,60200.0,59500.0,60000.0,55772.6328125,14474985
2020-10-20,60300.0,60900.0,60100.0,60900.0,56609.21484375,19326115
2020-10-21,61200.0,61500.0,60600.0,60900.0,56609.21484375,15703443
2020-10-22,60300.0,60500.0,59800.0,60100.0,55865.5859375,14294095
2020-10-23,60400.0,60400.0,59800.0,60200.0,55958.5390625,9322232
2020-10-26,60400.0,61100.0,60100.0,60400.0,56144.44140625,13268226
2020-10-27,60300.0,60300.0,59500.0,59800.0,55586.7265625,17260416
2020-10-28,59400.0,59400.0,58800.0,59000.0,54843.0859375,14428882
2020-10-29,58200.0,58500.0,57500.0,58100.0,54006.5,22636966
2020-10-30,58000.0,58000.0,56600.0,56600.0,52612.17578125,26907844
2020-11-02,56400.0,57500.0,56000.0,57400.0,53355.81640625,20489076
2020-11-03,57900.0,58900.0,57600.0,58800.0,54657.17578125,14950919
2020-11-04,58900.0,59000.0,57800.0,58500.0,54378.30859375,21718561
2020-11-05,59000.0,60300.0,58800.0,60300.0,56051.49609375,20639475
2020-11-06,60700.0,60800.0,59600.0,60100.0,55865.5859375,16910230
2020-11-09,60700.0,60900.0,60100.0,60200.0,55958.5390625,15892961
2020-11-10,60500.0,60500.0,59500.0,60200.0,55958.5390625,19073552
2020-11-11,60700.0,61400.0,60400.0,61300.0,56981.0390625,25628510
2020-11-12,61000.0,61400.0,60700.0,61000.0,56702.17578125,19800573
2020-11-13,61300.0,63200.0,61000.0,63200.0,58747.171875,31508829
2020-11-16,64000.0,66700.0,63900.0,66300.0,61628.7578125,36354334
2020-11-17,67000.0,67000.0,65600.0,65700.0,61071.0234375,30204089
2020-11-18,65700.0,66200.0,64700.0,64800.0,60234.44140625,22963790
2020-11-19,64100.0,64800.0,63900.0,64600.0,60048.52734375,16590290
2020-11-20,63900.0,65200.0,63900.0,64700.0,60141.48046875,15068682
2020-11-23,64800.0,67800.0,64700.0,67500.0,62744.2109375,27134398
2020-11-24,67900.0,69500.0,67000.0,67700.0,62930.1171875,32158235
2020-11-25,67900.0,68300.0,66500.0,66600.0,61907.6171875,32447065
2020-11-26,66100.0,68000.0,66000.0,68000.0,63208.98828125,19023323
2020-11-27,68000.0,68400.0,67600.0,68200.0,63394.8828125,14063434
2020-11-30,68400.0,68600.0,66700.0,66700.0,62000.57421875,43811016
2020-12-01,67100.0,68300.0,67100.0,67800.0,63023.0703125,22327173
2020-12-02,68400.0,69900.0,68300.0,69500.0,64603.28515625,29703942
2020-12-03,70100.0,70500.0,69300.0,69700.0,64789.19921875,23677989
2020-12-04,70400.0,72100.0,70100.0,71500.0,66462.3828125,28130533
2020-12-07,72400.0,73500.0,71900.0,72900.0,67763.7421875,28490496
2020-12-08,72200.0,72900.0,71600.0,71700.0,66648.2890625,25000338
2020-12-09,72100.0,73900.0,72000.0,73900.0,68693.28125,24077996
2020-12-10,72700.0,73800.0,72500.0,72900.0,67763.7421875,39882928
2020-12-11,73500.0,73800.0,73100.0,73400.0,68228.515625,18486672
2020-12-14,73600.0,74500.0,73200.0,73800.0,68600.3359375,21510415
2020-12-15,73800.0,74100.0,73300.0,73800.0,68600.3359375,20863671
2020-12-16,74100.0,74500.0,73400.0,73800.0,68600.3359375,17512081
2020-12-17,73400.0,73700.0,72600.0,73300.0,68135.5546875,24293214
2020-12-18,73300.0,73700.0,73000.0,73000.0,67856.6875,17613029
2020-12-21,73100.0,73400.0,72000.0,73000.0,67856.6875,20367355
